Region:South Asia

year,income_per_person
1960,2744
1961,2702
1962,2683
1963,2665
1964,2649
1965,2641
1966,2598
1967,2601
1968,2623
1969,2594
1970,2574
1971,2498
1972,2031
1973,2031
1974,2083
1975,2152
1976,2206
1977,2037
1978,2127
1979,2030
1980,2015
1981,2260
1982,2501
1983,2648
1984,2620
1985,2552
1986,2620
1987,2358
1988,2140
1989,1935
1990,1861
1991,1645
1992,1522
1993,1009
1994,721
1995,1028
1996,942
1997,865
1998,800
1999,735
2000,687
2001,646
2002,1016
2003,1056
2004,1025
2005,1099
2006,1124
2007,1248
2008,1268
2009,1502
2010,1672
