Region:Europe Central Asia

year,income_per_person
1960,2585
1961,2607
1962,2693
1963,2785
1964,2880
1965,2985
1966,3098
1967,3215
1968,3331
1969,3444
1970,3571
1971,3714
1972,3859
1973,4052
1974,4067
1975,4081
1976,4098
1977,4116
1978,4135
1979,4156
1980,4185
1981,4208
1982,4231
1983,4255
1984,4280
1985,4302
1986,4330
1987,4357
1988,4385
1989,4418
1990,4458
1991,3229
1992,3015
1993,3324
1994,3622
1995,4130
1996,4534
1997,4064
1998,4451
1999,5057
2000,5443
2001,5949
2002,6238
2003,6608
2004,7001
2005,7426
2006,7914
2007,8451
2008,9155
2009,9525
2010,9928
