Region:Middle East North Africa

year,income_per_person
1960,8077
1961,7782
1962,4909
1963,6029
1964,6456
1965,6849
1966,6207
1967,6699
1968,7200
1969,7574
1970,8073
1971,7168
1972,8412
1973,8425
1974,8667
1975,8992
1976,9288
1977,9810
1978,10720
1979,11321
1980,11164
1981,11075
1982,11401
1983,11601
1984,11848
1985,12071
1986,11599
1987,11199
1988,10663
1989,10731
1990,10298
1991,9927
1992,9871
1993,9451
1994,9174
1995,9343
1996,9557
1997,9507
1998,9843
1999,10015
2000,10258
2001,10429
2002,10874
2003,11509
2004,11847
2005,12374
2006,12399
2007,12620
2008,12708
2009,12695
2010,12921
