Region:Europe Central Asia

year,income_per_person
1960,15234
1961,16469
1962,17805
1963,19248
1964,20809
1965,22496
1966,24320
1967,26291
1968,28422
1969,30726
1970,33216
1971,33032
1972,33969
1973,34892
1974,35264
1975,34092
1976,34041
1977,33964
1978,33476
1979,32471
1980,32055
1981,30795
1982,29907
1983,29143
1984,28394
1985,27829
1986,27560
1987,27932
1988,28216
1989,28449
1990,28417
1991,28029
1992,27218
1993,26011
1994,25907
1995,26143
1996,27180
1997,29729
1998,30819
1999,31940
2000,31662
2001,31794
2002,31866
2003,34500
2004,36330
2005,39787
2006,42738
2007,43442
2008,41426
2009,41735
2010,38982
