Region:Sub Saharan Africa

year,income_per_person
1960,3861
1961,4313
1962,4134
1963,4284
1964,4695
1965,4974
1966,5187
1967,5408
1968,5247
1969,5318
1970,5570
1971,5794
1972,5687
1973,6012
1974,6055
1975,5615
1976,5008
1977,4955
1978,5074
1979,5079
1980,5112
1981,4925
1982,4612
1983,4337
1984,4255
1985,4208
1986,3760
1987,4129
1988,4649
1989,4667
1990,4761
1991,4651
1992,4238
1993,3119
1994,3060
1995,3408
1996,3747
1997,3892
1998,3946
1999,3903
2000,3892
2001,3924
2002,4315
2003,4296
2004,4605
2005,5113
2006,5500
2007,6044
2008,6474
2009,6293
2010,6360
