Region:America

year,income_per_person
1960,4419
1961,4571
1962,4727
1963,4888
1964,5055
1965,5227
1966,5405
1967,5588
1968,5777
1969,5973
1970,6174
1971,6554
1972,6963
1973,7486
1974,7680
1975,7211
1976,6527
1977,6971
1978,7198
1979,7980
1980,8555
1981,9056
1982,9201
1983,9976
1984,10897
1985,11941
1986,13175
1987,14576
1988,15919
1989,16922
1990,17473
1991,17617
1992,17516
1993,18075
1994,18872
1995,17664
1996,18427
1997,19020
1998,19507
1999,19837
2000,20791
2001,19455
2002,19382
2003,20296
2004,21183
2005,22229
2006,24683
2007,26545
2008,26111
2009,22592
2010,20660
