Region:America

year,income_per_person
1960,9765
1961,10299
1962,9976
1963,9589
1964,10418
1965,11202
1966,11116
1967,11257
1968,11574
1969,12385
1970,12854
1971,13258
1972,13445
1973,14025
1974,14683
1975,14314
1976,14039
1977,14640
1978,13767
1979,14510
1980,14476
1981,13421
1982,12787
1983,13040
1984,13111
1985,12070
1986,12760
1987,12893
1988,12466
1989,11524
1990,11373
1991,12239
1992,13033
1993,13919
1994,14547
1995,13960
1996,14557
1997,15556
1998,15973
1999,15261
2000,14975
2001,14160
2002,12481
2003,13439
2004,14499
2005,15619
2006,16706
2007,18030
2008,18576
2009,17303
2010,18912
