Region:Europe Central Asia

year,income_per_person
1960,3003
1961,3120
1962,3153
1963,3034
1964,3378
1965,3524
1966,3651
1967,3769
1968,3946
1969,3959
1970,4218
1971,4282
1972,4256
1973,4561
1974,4482
1975,4403
1976,4325
1977,4248
1978,4172
1979,4097
1980,4023
1981,4091
1982,4158
1983,4136
1984,4221
1985,4300
1986,4214
1987,3924
1988,3686
1989,4122
1990,3742
1991,3336
1992,1977
1993,1845
1994,1992
1995,2173
1996,2337
1997,2441
1998,2640
1999,2744
2000,2925
2001,3224
2002,3669
2003,4207
2004,4674
2005,5357
2006,6111
2007,7012
2008,7560
2009,6534
2010,6703
