Region:East Asia Pacific

year,income_per_person
1960,15972
1961,15678
1962,16311
1963,16939
1964,17700
1965,18195
1966,18305
1967,19131
1968,19817
1969,20494
1970,21254
1971,21664
1972,21806
1973,22576
1974,22699
1975,22958
1976,23568
1977,23481
1978,23799
1979,24680
1980,24768
1981,25124
1982,24627
1983,24261
1984,25590
1985,26493
1986,26616
1987,27441
1988,28132
1989,28791
1990,28669
1991,28194
1992,27969
1993,28813
1994,29645
1995,30412
1996,31179
1997,32055
1998,33174
1999,34462
2000,35393
2001,35593
2002,36568
2003,37198
2004,38260
2005,38969
2006,39471
2007,40733
2008,41385
2009,41326
2010,41530
