Region:Europe Central Asia

year,income_per_person
1960,11302
1961,11865
1962,12105
1963,12547
1964,13242
1965,13566
1966,14262
1967,14620
1968,15226
1969,16164
1970,17294
1971,18139
1972,19197
1973,20070
1974,20873
1975,20900
1976,21944
1977,23013
1978,23000
1979,24350
1980,24969
1981,24950
1982,25448
1983,26296
1984,26437
1985,27070
1986,27734
1987,28222
1988,29099
1989,30284
1990,31342
1991,32098
1992,32412
1993,32315
1994,32964
1995,33792
1996,34539
1997,35222
1998,36444
1999,37666
2000,38844
2001,39186
2002,39638
2003,39817
2004,40653
2005,41283
2006,42498
2007,43939
2008,44442
2009,42657
2010,43336
