Region:Europe Central Asia

year,income_per_person
1960,5403
1961,5631
1962,5708
1963,5512
1964,6160
1965,6451
1966,6709
1967,6955
1968,7312
1969,7369
1970,7886
1971,8041
1972,8032
1973,8651
1974,8654
1975,8656
1976,8658
1977,8660
1978,8662
1979,8665
1980,8667
1981,9045
1982,9439
1983,9638
1984,10043
1985,10263
1986,10371
1987,10749
1988,11127
1989,10027
1990,8790
1991,8594
1992,6552
1993,4962
1994,3931
1995,3428
1996,3437
1997,3602
1998,3924
1999,4178
2000,4604
2001,5020
2002,5454
2003,5965
2004,6460
2005,8182
2006,10882
2007,13499
2008,14619
2009,15660
2010,16216
