Region:America

year,income_per_person
1960,16964
1961,17993
1962,19032
1963,20148
1964,21360
1965,22685
1966,23853
1967,25265
1968,26555
1969,28166
1970,25974
1971,25730
1972,24291
1973,25622
1974,20927
1975,17484
1976,18020
1977,19263
1978,21528
1979,26578
1980,27701
1981,24610
1982,25694
1983,26055
1984,29143
1985,29963
1986,29955
1987,30329
1988,30526
1989,32049
1990,31006
1991,29164
1992,27519
1993,27091
1994,27460
1995,28219
1996,29017
1997,29267
1998,30306
1999,32089
2000,32973
2001,33328
2002,33668
2003,32662
2004,32355
2005,32839
2006,33038
2007,32884
2008,31532
2009,29703
2010,29707
