Region:Middle East North Africa

year,income_per_person
1960,22613
1961,23124
1962,23716
1963,24440
1964,25300
1965,26352
1966,27493
1967,28732
1968,29983
1969,31310
1970,32805
1971,34470
1972,36311
1973,37827
1974,39515
1975,33865
1976,37218
1977,38324
1978,38049
1979,36365
1980,37773
1981,37105
1982,37953
1983,39024
1984,39128
1985,37537
1986,37016
1987,36484
1988,36555
1989,36259
1990,35113
1991,37997
1992,39506
1993,43499
1994,42335
1995,42897
1996,43505
1997,43624
1998,44316
1999,44563
2000,44943
2001,43887
2002,43148
2003,43188
2004,43356
2005,43202
2006,42673
2007,42754
2008,42216
2009,40716
2010,40571
