Region:South Asia

year,income_per_person
1960,1129
1961,1170
1962,1142
1963,1234
1964,1223
1965,1264
1966,1255
1967,1203
1968,1288
1969,1280
1970,1312
1971,1222
1972,1053
1973,1037
1974,1142
1975,1105
1976,1130
1977,1106
1978,1152
1979,1171
1980,1148
1981,1153
1982,1141
1983,1170
1984,1206
1985,1216
1986,1240
1987,1263
1988,1270
1989,1272
1990,1326
1991,1340
1992,1382
1993,1416
1994,1440
1995,1482
1996,1516
1997,1551
1998,1598
1999,1639
2000,1692
2001,1745
2002,1779
2003,1832
2004,1897
2005,1991
2006,2095
2007,2216
2008,2322
2009,2413
2010,2518
