Region:America

year,income_per_person
1960,4253
1961,4600
1962,4852
1963,5000
1964,5327
1965,5483
1966,5893
1967,6496
1968,7388
1969,8194
1970,9132
1971,9517
1972,9666
1973,9830
1974,9415
1975,9271
1976,9742
1977,10147
1978,10708
1979,11621
1980,12210
1981,12075
1982,11542
1983,11647
1984,12119
1985,12312
1986,13007
1987,13422
1988,13973
1989,14541
1990,14123
1991,13520
1992,12529
1993,12634
1994,13062
1995,13273
1996,13743
1997,14333
1998,14806
1999,14793
2000,15391
2001,14971
2002,15040
2003,15314
2004,15476
2005,16031
2006,16869
2007,17091
2008,17036
2009,16292
2010,16276
