Region:Europe Central Asia

year,income_per_person
1960,3951
1961,4095
1962,4128
1963,3965
1964,4440
1965,4659
1966,4856
1967,5042
1968,5312
1969,5362
1970,5749
1971,5873
1972,5877
1973,6340
1974,6466
1975,6479
1976,6780
1977,6938
1978,7112
1979,7080
1980,7092
1981,7341
1982,7601
1983,7917
1984,8112
1985,8124
1986,8274
1987,8303
1988,8210
1989,8698
1990,8367
1991,8262
1992,7453
1993,6871
1994,6074
1995,5460
1996,5632
1997,6300
1998,6862
1999,7126
2000,7574
2001,7973
2002,8429
2003,9086
2004,10196
2005,11230
2006,12429
2007,13560
2008,14995
2009,15059
2010,16261
