Region:Europe Central Asia

year,income_per_person
1960,11404
1961,11932
1962,12512
1963,13009
1964,13840
1965,14243
1966,14645
1967,15182
1968,15802
1969,16860
1970,17907
1971,18565
1972,19521
1973,20712
1974,21576
1975,21290
1976,22518
1977,22697
1978,23387
1979,23981
1980,25100
1981,24840
1982,25249
1983,25316
1984,26014
1985,26338
1986,26794
1987,27477
1988,28810
1989,29761
1990,30648
1991,31094
1992,31442
1993,31018
1994,31921
1995,32613
1996,33068
1997,34212
1998,34814
1999,35972
2000,37189
2001,37362
2002,37857
2003,37991
2004,39202
2005,39803
2006,40532
2007,41623
2008,41619
2009,40356
2010,41086
