Region:America

year,income_per_person
1960,2434
1961,2486
1962,2536
1963,2588
1964,2649
1965,2720
1966,2796
1967,2884
1968,3053
1969,3173
1970,3294
1971,3441
1972,3532
1973,3450
1974,3711
1975,3679
1976,3601
1977,3699
1978,3932
1979,4014
1980,4105
1981,4061
1982,3942
1983,3748
1984,3712
1985,3644
1986,3706
1987,4007
1988,4259
1989,4694
1990,5116
1991,5596
1992,6167
1993,6445
1994,6325
1995,6204
1996,6095
1997,6085
1998,6075
1999,6367
2000,6954
2001,7081
2002,7236
2003,7704
2004,7855
2005,7851
2006,7998
2007,7879
2008,7926
2009,7781
2010,7849
