Region:Sub Saharan Africa

year,income_per_person
1960,1201
1961,1212
1962,1143
1963,1168
1964,1218
1965,1249
1966,1264
1967,1244
1968,1260
1969,1263
1970,1257
1971,1249
1972,1335
1973,1356
1974,1408
1975,1276
1976,1258
1977,1275
1978,1233
1979,1293
1980,1372
1981,1405
1982,1509
1983,1400
1984,1464
1985,1526
1986,1510
1987,1442
1988,1440
1989,1385
1990,1463
1991,1474
1992,1466
1993,1498
1994,1477
1995,1515
1996,1532
1997,1571
1998,1586
1999,1622
2000,1666
2001,1703
2002,1729
2003,1735
2004,1758
2005,1736
2006,1753
2007,1806
2008,1841
2009,1832
2010,1819
