Region:South Asia

year,income_per_person
1960,951
1961,965
1962,981
1963,997
1964,1013
1965,1029
1966,1046
1967,1062
1968,1079
1969,1096
1970,1113
1971,1105
1972,1081
1973,1061
1974,1080
1975,1010
1976,1064
1977,1109
1978,1150
1979,1167
1980,1188
1981,1287
1982,1282
1983,1350
1984,1395
1985,1430
1986,1578
1987,1997
1988,2046
1989,2144
1990,2354
1991,2327
1992,2435
1993,2492
1994,2619
1995,2790
1996,2908
1997,3007
1998,3114
1999,3284
2000,3433
2001,3637
2002,3947
2003,4169
2004,4339
2005,4577
2006,4826
2007,5627
2008,5836
2009,6163
2010,6814
