Region:America

year,income_per_person
1960,2702
1961,2696
1962,2783
1963,2895
1964,2965
1965,3038
1966,3182
1967,3301
1968,3499
1969,3567
1970,3663
1971,3710
1972,3805
1973,3968
1974,4071
1975,4236
1976,4457
1977,4532
1978,4571
1979,4465
1980,4331
1981,4290
1982,4032
1983,3789
1984,3763
1985,3673
1986,3494
1987,3519
1988,3580
1989,3603
1990,3703
1991,3816
1992,3798
1993,3878
1994,3975
1995,4076
1996,4168
1997,4287
1998,4415
1999,4347
2000,4371
2001,4361
2002,4386
2003,4422
2004,4524
2005,4641
2006,4779
2007,4912
2008,5126
2009,5211
2010,5337
