Region:Europe Central Asia

year,income_per_person
1960,2225
1961,2236
1962,2162
1963,2361
1964,2544
1965,2581
1966,2717
1967,2617
1968,2666
1969,2819
1970,2856
1971,2971
1972,3035
1973,3078
1974,3224
1975,3256
1976,3214
1977,3387
1978,3524
1979,3693
1980,3749
1981,3777
1982,3752
1983,3644
1984,3611
1985,3558
1986,3584
1987,3421
1988,3244
1989,3197
1990,2746
1991,2420
1992,1829
1993,1368
1994,1476
1995,1833
1996,3523
1997,4771
1998,5517
1999,6032
2000,6351
2001,6623
2002,6966
2003,7240
2004,7677
2005,8347
2006,8799
2007,9321
2008,9849
2009,9600
2010,9764
