Region:Sub Saharan Africa

year,income_per_person
1960,899
1961,916
1962,929
1963,944
1964,963
1965,978
1966,1059
1967,1150
1968,1249
1969,1349
1970,1452
1971,1781
1972,2180
1973,2548
1974,2655
1975,2745
1976,2889
1977,3032
1978,3219
1979,3509
1980,3774
1981,4065
1982,4246
1983,4584
1984,5032
1985,5318
1986,5532
1987,5806
1988,6321
1989,8176
1990,8502
1991,8863
1992,8873
1993,8813
1994,8910
1995,9309
1996,9619
1997,10178
1998,9993
1999,10725
2000,10718
2001,10544
2002,10987
2003,11298
2004,11399
2005,11697
2006,12421
2007,13165
2008,13694
2009,12401
2010,13235
