Region:America

year,income_per_person
1960,4404
1961,4647
1962,4813
1963,4703
1964,4724
1965,4700
1966,4872
1967,4936
1968,5273
1969,5619
1970,6041
1971,6552
1972,7149
1973,7946
1974,8382
1975,8602
1976,9258
1977,9486
1978,9722
1979,10135
1980,10814
1981,10110
1982,9957
1983,9459
1984,9773
1985,10336
1986,10894
1987,11059
1988,10839
1989,10983
1990,10342
1991,10315
1992,10093
1993,10389
1994,10766
1995,11062
1996,11128
1997,11328
1998,11193
1999,11080
2000,11403
2001,11405
2002,11600
2003,11585
2004,12106
2005,12352
2006,12702
2007,13334
2008,13874
2009,13724
2010,14620
