Region:East Asia Pacific

year,income_per_person
1960,74698
1961,76349
1962,78034
1963,79754
1964,81508
1965,83300
1966,85127
1967,86993
1968,88896
1969,90839
1970,92821
1971,97457
1972,102530
1973,107419
1974,114735
1975,110453
1976,127521
1977,136112
1978,140139
1979,165842
1980,149206
1981,115933
1982,116958
1983,114193
1984,111654
1985,106890
1986,91962
1987,89648
1988,86809
1989,86219
1990,84693
1991,84900
1992,86446
1993,84311
1994,84628
1995,86139
1996,86434
1997,83160
1998,80833
1999,81496
2000,82068
2001,82617
2002,84146
2003,84994
2004,83963
2005,82977
2006,85422
2007,84481
2008,81869
2009,79485
2010,80556
