Region:Europe Central Asia

year,income_per_person
1960,5060
1961,5331
1962,5710
1963,5914
1964,6319
1965,6642
1966,7106
1967,7430
1968,7502
1969,7795
1970,8173
1971,8381
1972,8724
1973,9007
1974,9214
1975,9909
1976,10150
1977,9991
1978,10183
1979,10550
1980,10194
1981,10419
1982,10712
1983,10472
1984,10781
1985,10422
1986,10663
1987,10651
1988,10556
1989,10341
1990,9297
1991,8597
1992,8057
1993,8002
1994,8175
1995,8446
1996,8550
1997,8508
1998,9109
1999,8390
2000,8833
2001,9351
2002,10123
2003,10730
2004,11507
2005,12420
2006,13375
2007,14463
2008,15442
2009,14985
2010,15283
