Region:Sub Saharan Africa

year,income_per_person
1960,638
1961,660
1962,697
1963,683
1964,694
1965,714
1966,711
1967,766
1968,782
1969,788
1970,780
1971,801
1972,823
1973,769
1974,744
1975,701
1976,683
1977,715
1978,781
1979,771
1980,765
1981,779
1982,777
1983,749
1984,742
1985,817
1986,919
1987,877
1988,920
1989,881
1990,844
1991,897
1992,875
1993,881
1994,868
1995,893
1996,965
1997,997
1998,1041
1999,1087
2000,1075
2001,1114
2002,1130
2003,1183
2004,1200
2005,1266
2006,1306
2007,1339
2008,1394
2009,1392
2010,1423
