Region:Sub Saharan Africa

year,income_per_person
1960,660
1961,554
1962,591
1963,606
1964,626
1965,634
1966,646
1967,689
1968,668
1969,648
1970,807
1971,817
1972,783
1973,835
1974,818
1975,801
1976,867
1977,925
1978,947
1979,919
1980,865
1981,922
1982,898
1983,902
1984,881
1985,964
1986,983
1987,999
1988,1022
1989,1015
1990,1027
1991,1054
1992,1042
1993,958
1994,906
1995,822
1996,747
1997,728
1998,754
1999,737
2000,718
2001,716
2002,728
2003,698
2004,709
2005,693
2006,707
2007,707
2008,718
2009,721
2010,734
