Region:East Asia Pacific

year,income_per_person
1960,657
1961,633
1962,666
1963,697
1964,660
1965,673
1966,685
1967,702
1968,715
1969,707
1970,633
1971,602
1972,565
1973,761
1974,644
1975,567
1976,630
1977,702
1978,793
1979,813
1980,811
1981,798
1982,835
1983,867
1984,906
1985,946
1986,969
1987,916
1988,905
1989,894
1990,863
1991,896
1992,918
1993,912
1994,970
1995,1035
1996,1086
1997,1124
1998,1163
1999,1279
2000,1385
2001,1458
2002,1525
2003,1627
2004,1766
2005,1969
2006,2148
2007,2332
2008,2452
2009,2417
2010,2522
