Region:Sub Saharan Africa

year,income_per_person
1960,1854
1961,1853
1962,1886
1963,1930
1964,1971
1965,1983
1966,2045
1967,2070
1968,2171
1969,2242
1970,2271
1971,2298
1972,2354
1973,2345
1974,2403
1975,2476
1976,2467
1977,2537
1978,2604
1979,2674
1980,2856
1981,3249
1982,3418
1983,3563
1984,3736
1985,3954
1986,4118
1987,3805
1988,3535
1989,3135
1990,3004
1991,2804
1992,2639
1993,2361
1994,2344
1995,2359
1996,2397
1997,2457
1998,2501
1999,2541
2000,2564
2001,2606
2002,2645
2003,2693
2004,2799
2005,2779
2006,2798
2007,2856
2008,2875
2009,2859
2010,2876
