Region:America

year,income_per_person
1960,14804
1961,14932
1962,15673
1963,16153
1964,16875
1965,17664
1966,18452
1967,18665
1968,19329
1969,20047
1970,20268
1971,21116
1972,21963
1973,23235
1974,23838
1975,24011
1976,24981
1977,25502
1978,26254
1979,27060
1980,27053
1981,27534
1982,26361
1983,26841
1984,28094
1985,29322
1986,29773
1987,30566
1988,31622
1989,31796
1990,31386
1991,30352
1992,30264
1993,30730
1994,31762
1995,32281
1996,32462
1997,33517
1998,34530
1999,36019
2000,37534
2001,37786
2002,38503
2003,38845
2004,39672
2005,40557
2006,41202
2007,41646
2008,41610
2009,39924
2010,40700
