Region:Sub Saharan Africa

year,income_per_person
1960,1660
1961,1692
1962,1716
1963,1733
1964,1743
1965,1749
1966,1753
1967,1753
1968,1752
1969,1748
1970,1744
1971,1777
1972,1775
1973,1762
1974,1764
1975,1431
1976,1424
1977,1314
1978,1399
1979,1400
1980,1427
1981,1499
1982,1492
1983,1580
1984,1584
1985,1662
1986,1650
1987,1660
1988,1696
1989,1728
1990,1676
1991,1659
1992,1791
1993,1892
1994,2193
1995,2441
1996,2655
1997,2886
1998,3182
1999,3473
2000,3897
2001,3915
2002,4053
2003,4157
2004,4514
2005,4759
2006,5072
2007,5769
2008,6079
2009,5929
2010,5943
