Region:Sub Saharan Africa

year,income_per_person
1960,1555
1961,1583
1962,1511
1963,1476
1964,1469
1965,1447
1966,1407
1967,1431
1968,1412
1969,1452
1970,1481
1971,1400
1972,1340
1973,1372
1974,1303
1975,1291
1976,1313
1977,1380
1978,1360
1979,1290
1980,1197
1981,1182
1982,1170
1983,1069
1984,1108
1985,1108
1986,1121
1987,1040
1988,1032
1989,1028
1990,983
1991,953
1992,867
1993,845
1994,862
1995,899
1996,840
1997,863
1998,882
1999,892
2000,851
2001,869
2002,881
2003,817
2004,849
2005,840
2006,863
2007,885
2008,888
2009,950
2010,982
