Region:Sub Saharan Africa

year,income_per_person
1960,1193
1961,1200
1962,1254
1963,1226
1964,1184
1965,1176
1966,1142
1967,1134
1968,1116
1969,1178
1970,1187
1971,1196
1972,1100
1973,1034
1974,1162
1975,1345
1976,1308
1977,1194
1978,1174
1979,909
1980,863
1981,776
1982,788
1983,875
1984,917
1985,989
1986,1026
1987,1037
1988,1092
1989,1090
1990,1109
1991,1166
1992,1220
1993,996
1994,1062
1995,1040
1996,1027
1997,1049
1998,1083
1999,1038
2000,992
2001,1066
2002,1113
2003,1228
2004,1581
2005,1788
2006,1738
2007,1735
2008,1729
2009,1743
2010,1915
