Region:America

year,income_per_person
1960,5913
1961,6040
1962,6169
1963,6401
1964,6390
1965,6294
1966,6852
1967,6931
1968,7037
1969,7157
1970,7165
1971,7674
1972,7454
1973,6923
1974,6877
1975,5894
1976,6015
1977,6516
1978,6955
1979,7428
1980,7911
1981,8267
1982,7031
1983,6728
1984,7015
1985,7045
1986,7311
1987,7660
1988,8082
1989,8793
1990,8970
1991,9512
1992,10401
1993,10907
1994,11277
1995,12101
1996,12741
1997,13504
1998,13907
1999,13681
2000,14241
2001,14547
2002,14838
2003,15284
2004,16217
2005,16970
2006,17853
2007,18529
2008,18979
2009,18485
2010,19363
