Region:East Asia Pacific

year,income_per_person
1960,843
1961,560
1962,569
1963,638
1964,715
1965,774
1966,829
1967,722
1968,671
1969,735
1970,851
1971,879
1972,846
1973,898
1974,892
1975,924
1976,896
1977,909
1978,1021
1979,1064
1980,1078
1981,1112
1982,1195
1983,1251
1984,1433
1985,1514
1986,1551
1987,1605
1988,1611
1989,1562
1990,1522
1991,1641
1992,1851
1993,2084
1994,2329
1995,2557
1996,2781
1997,3007
1998,3212
1999,3428
2000,3690
2001,3969
2002,4302
2003,4705
2004,5150
2005,5703
2006,6392
2007,7264
2008,7925
2009,8627
2010,9498
