Region:America

year,income_per_person
1960,3960
1961,4029
1962,4117
1963,4123
1964,4248
1965,4272
1966,4371
1967,4426
1968,4570
1969,4735
1970,4924
1971,5084
1972,5343
1973,5574
1974,5764
1975,5770
1976,5920
1977,6049
1978,6448
1979,6666
1980,6796
1981,6794
1982,6713
1983,6672
1984,6760
1985,6830
1986,7095
1987,7324
1988,7474
1989,7567
1990,7729
1991,7731
1992,7888
1993,8154
1994,8467
1995,8746
1996,8768
1997,8913
1998,8814
1999,8306
2000,8413
2001,8421
2002,8501
2003,8705
2004,9040
2005,9339
2006,9844
2007,10389
2008,10602
2009,10611
2010,10957
