Region:Sub Saharan Africa

year,income_per_person
1960,914
1961,925
1962,1009
1963,1224
1964,1316
1965,1318
1966,1453
1967,1508
1968,1501
1969,1515
1970,1620
1971,1673
1972,1693
1973,1796
1974,1830
1975,1926
1976,1907
1977,1857
1978,1888
1979,2037
1980,2156
1981,2224
1982,2350
1983,2443
1984,2522
1985,2550
1986,2580
1987,2599
1988,2646
1989,2582
1990,2581
1991,2371
1992,2499
1993,2500
1994,2302
1995,2319
1996,2227
1997,2255
1998,2225
1999,2210
2000,2389
2001,2385
2002,2382
2003,2375
2004,2364
2005,2373
2006,2379
2007,2341
2008,2377
2009,2394
2010,2426
