Region:Sub Saharan Africa

year,income_per_person
1960,2062
1961,1798
1962,2114
1963,2157
1964,2057
1965,2030
1966,2112
1967,2027
1968,2049
1969,2175
1970,2109
1971,2182
1972,2124
1973,2243
1974,2255
1975,2082
1976,1908
1977,1863
1978,1703
1979,1647
1980,1633
1981,1627
1982,1573
1983,1555
1984,1595
1985,1553
1986,1577
1987,1568
1988,1526
1989,1468
1990,1387
1991,1224
1992,1054
1993,877
1994,813
1995,792
1996,763
1997,702
1998,675
1999,631
2000,573
2001,545
2002,545
2003,558
2004,577
2005,594
2006,605
2007,623
2008,640
2009,637
2010,660
