Region:Sub Saharan Africa

year,income_per_person
1960,2291
1961,2640
1962,2532
1963,2351
1964,2368
1965,2415
1966,2497
1967,2734
1968,2919
1969,3156
1970,3453
1971,3652
1972,3688
1973,4196
1974,4035
1975,3880
1976,3945
1977,3549
1978,3654
1979,3949
1980,4322
1981,5086
1982,6102
1983,6258
1984,6517
1985,6261
1986,5668
1987,5524
1988,5470
1989,5416
1990,5323
1991,5303
1992,5294
1993,5099
1994,4686
1995,4737
1996,4802
1997,4636
1998,4672
1999,4421
2000,4621
2001,4662
2002,4739
2003,4642
2004,4662
2005,4868
2006,5003
2007,4757
2008,4853
2009,5047
2010,5323
