Region:America

year,income_per_person
1960,4197
1961,4216
1962,4320
1963,4536
1964,4611
1965,4878
1966,5093
1967,5243
1968,5486
1969,5692
1970,5909
1971,6134
1972,6506
1973,6836
1974,7025
1975,6984
1976,7171
1977,7603
1978,7779
1979,7936
1980,7871
1981,7517
1982,6812
1983,6816
1984,7154
1985,7019
1986,7203
1987,7352
1988,7415
1989,7652
1990,7744
1991,7715
1992,8209
1993,8567
1994,8727
1995,8865
1996,8760
1997,9032
1998,9445
1999,9612
2000,9786
2001,9948
2002,10108
2003,10378
2004,10672
2005,10929
2006,11558
2007,12334
2008,12738
2009,12454
2010,12909
