Region:Sub Saharan Africa

year,income_per_person
1960,3008
1961,3179
1962,3207
1963,3591
1964,4068
1965,3815
1966,3937
1967,3811
1968,4196
1969,4171
1970,4400
1971,4396
1972,4422
1973,4563
1974,4505
1975,4327
1976,4652
1977,4683
1978,4953
1979,4861
1980,5048
1981,5039
1982,4873
1983,4522
1984,4222
1985,4279
1986,4257
1987,4047
1988,3840
1989,3689
1990,3286
1991,3171
1992,3052
1993,2940
1994,2864
1995,2968
1996,3096
1997,3113
1998,3170
1999,3133
2000,2989
2001,2922
2002,2810
2003,2714
2004,2691
2005,2680
2006,2662
2007,2650
2008,2658
2009,2682
2010,2673
