Region:Europe Central Asia

year,income_per_person
1960,6948
1961,7406
1962,7547
1963,8295
1964,9019
1965,9222
1966,9821
1967,10086
1968,10472
1969,11206
1970,11939
1971,12838
1972,13127
1973,13580
1974,14687
1975,15041
1976,15600
1977,16837
1978,18023
1979,19006
1980,19265
1981,19241
1982,19152
1983,18758
1984,19105
1985,19046
1986,19509
1987,19426
1988,19205
1989,18860
1990,17486
1991,13698
1992,12230
1993,11282
1994,11893
1995,12754
1996,13689
1997,14670
1998,14953
1999,14877
2000,15591
2001,16762
2002,17632
2003,18611
2004,19334
2005,20103
2006,21076
2007,22195
2008,22650
2009,21020
2010,20758
