Region:America

year,income_per_person
1960,4360
1961,4468
1962,4332
1963,4309
1964,4598
1965,4495
1966,4637
1967,5082
1968,4703
1969,4569
1970,4335
1971,4604
1972,4738
1973,5076
1974,5254
1975,5436
1976,5513
1977,5698
1978,5990
1979,6092
1980,5979
1981,6438
1982,6534
1983,6852
1984,7356
1985,7455
1986,7392
1987,7117
1988,7272
1989,7268
1990,6864
1991,5696
1992,4777
1993,3668
1994,3637
1995,3810
1996,4251
1997,4401
1998,4310
1999,4492
2000,4882
2001,5061
2002,5133
2003,5201
2004,5170
2005,5248
2006,5923
2007,6054
2008,6336
2009,6476
2010,6697
