Region:Europe Central Asia

year,income_per_person
1960,4245
1961,4699
1962,5178
1963,5474
1964,4945
1965,6044
1966,6407
1967,7268
1968,7586
1969,8273
1970,8508
1971,9587
1972,10202
1973,10397
1974,8596
1975,7349
1976,8893
1977,10359
1978,11165
1979,12254
1980,12927
1981,13246
1982,14012
1983,14663
1984,15841
1985,16485
1986,17135
1987,18181
1988,19646
1989,21136
1990,22472
1991,22060
1992,23500
1993,23099
1994,23962
1995,25524
1996,25434
1997,25738
1998,26978
1999,28011
2000,29368
2001,30202
2002,30969
2003,31397
2004,32537
2005,33629
2006,34631
2007,35630
2008,36014
2009,34353
2010,33913
