Region:Europe Central Asia

year,income_per_person
1960,9968
1961,10202
1962,10209
1963,9882
1964,10197
1965,10427
1966,10739
1967,11075
1968,11467
1969,11620
1970,11734
1971,12341
1972,12981
1973,13556
1974,14156
1975,14888
1976,15421
1977,15894
1978,16511
1979,16702
1980,16984
1981,16985
1982,16757
1983,17067
1984,17490
1985,17927
1986,18468
1987,18941
1988,19379
1989,19758
1990,20023
1991,17740
1992,17632
1993,17625
1994,18131
1995,19271
1996,20108
1997,20010
1998,19963
1999,20270
2000,21194
2001,21892
2002,22297
2003,23107
2004,24234
2005,25781
2006,27474
2007,28844
2008,29373
2009,27804
2010,28353
