Region:Europe Central Asia

year,income_per_person
1960,15833
1961,16743
1962,17536
1963,17519
1964,19021
1965,19743
1966,20128
1967,20640
1968,21376
1969,22643
1970,22938
1971,23401
1972,24511
1973,25264
1974,24927
1975,24707
1976,26257
1977,26617
1978,26943
1979,27846
1980,27708
1981,27486
1982,28354
1983,29106
1984,30419
1985,31731
1986,32863
1987,32938
1988,33327
1989,33415
1990,33786
1991,34168
1992,34721
1993,34610
1994,36332
1995,37238
1996,38101
1997,39181
1998,39905
1999,40945
2000,42338
2001,42534
2002,42596
2003,42646
2004,43670
2005,44568
2006,46160
2007,46374
2008,45866
2009,43383
2010,43998
