Region:Middle East North Africa

year,income_per_person
1960,3767
1961,3792
1962,3740
1963,3772
1964,3738
1965,3731
1966,3746
1967,3738
1968,3713
1969,3705
1970,4400
1971,4467
1972,4412
1973,4426
1974,4069
1975,4324
1976,4496
1977,3889
1978,3454
1979,3512
1980,3542
1981,3644
1982,3789
1983,3736
1984,3754
1985,3715
1986,3579
1987,3522
1988,3538
1989,3285
1990,3146
1991,2930
1992,2890
1993,2684
1994,2642
1995,2518
1996,2364
1997,2285
1998,2221
1999,2207
2000,2162
2001,2161
2002,2177
2003,2210
2004,2258
2005,2293
2006,2364
2007,2444
2008,2543
2009,2627
2010,2673
