Region:America

year,income_per_person
1960,1900
1961,1802
1962,2049
1963,2118
1964,2196
1965,1869
1966,2062
1967,2075
1968,2023
1969,2187
1970,2359
1971,2505
1972,2666
1973,2865
1974,3034
1975,3120
1976,3335
1977,3428
1978,3843
1979,3148
1980,3629
1981,4102
1982,4268
1983,4370
1984,4644
1985,4776
1986,5182
1987,5641
1988,6192
1989,6257
1990,6658
1991,6752
1992,6873
1993,6993
1994,6974
1995,7180
1996,7420
1997,7618
1998,7952
1999,8021
2000,8230
2001,8224
2002,7971
2003,8445
2004,8668
2005,8700
2006,9088
2007,9655
2008,10338
2009,10214
2010,10278
