Region:America

year,income_per_person
1960,3028
1961,2859
1962,3233
1963,3328
1964,3433
1965,2908
1966,3192
1967,3195
1968,3102
1969,3337
1970,3582
1971,3848
1972,4203
1973,4581
1974,4715
1975,4811
1976,5002
1977,5113
1978,5100
1979,5187
1980,5367
1981,5452
1982,5416
1983,5522
1984,5409
1985,5151
1986,5186
1987,5451
1988,5366
1989,5917
1990,5516
1991,5463
1992,5963
1993,6285
1994,6333
1995,6577
1996,6853
1997,7340
1998,7709
1999,8041
2000,8289
2001,8367
2002,8616
2003,8380
2004,8477
2005,9150
2006,9858
2007,10453
2008,10653
2009,10620
2010,11365
