Region:America

year,income_per_person
1960,4219
1961,4206
1962,4307
1963,4293
1964,4467
1965,4759
1966,4746
1967,4857
1968,4981
1969,5106
1970,5310
1971,5460
1972,5636
1973,6163
1974,6346
1975,6496
1976,6931
1977,7172
1978,7466
1979,7661
1980,7802
1981,7909
1982,7793
1983,7437
1984,7547
1985,7672
1986,7703
1987,7044
1988,7608
1989,7437
1990,7463
1991,7603
1992,7588
1993,7564
1994,7713
1995,7716
1996,7684
1997,7850
1998,7942
1999,7417
2000,7357
2001,7514
2002,7686
2003,7761
2004,8259
2005,8551
2006,8780
2007,8823
2008,9230
2009,9132
2010,9305
