Region:Middle East North Africa

year,income_per_person
1960,2643
1961,2737
1962,2840
1963,2949
1964,3058
1965,3168
1966,3099
1967,2981
1968,2954
1969,3084
1970,3206
1971,3266
1972,3254
1973,3266
1974,3308
1975,3554
1976,4001
1977,4382
1978,4552
1979,4743
1980,5064
1981,5057
1982,5390
1983,5605
1984,5743
1985,5911
1986,5859
1987,5844
1988,5923
1989,5937
1990,5898
1991,5830
1992,5962
1993,6011
1994,6125
1995,6282
1996,6464
1997,6684
1998,6917
1999,7193
2000,7504
2001,7623
2002,7660
2003,7759
2004,7930
2005,8137
2006,8541
2007,8987
2008,9461
2009,9720
2010,10019
