Region:America

year,income_per_person
1960,3896
1961,3902
1962,4232
1963,4272
1964,4525
1965,4614
1966,4764
1967,4856
1968,4835
1969,4822
1970,4774
1971,4856
1972,5008
1973,5136
1974,5330
1975,5483
1976,5550
1977,5729
1978,5933
1979,5679
1980,5113
1981,4737
1982,4505
1983,4488
1984,4519
1985,4527
1986,4466
1987,4494
1988,4479
1989,4443
1990,4512
1991,4518
1992,4768
1993,4978
1994,5144
1995,5324
1996,5310
1997,5423
1998,5517
1999,5591
2000,5612
2001,5624
2002,5680
2003,5738
2004,5760
2005,5888
2006,6117
2007,6203
2008,6309
2009,6151
2010,6281
