Region:Sub Saharan Africa

year,income_per_person
1960,1234
1961,1333
1962,1466
1963,1663
1964,1892
1965,2125
1966,2186
1967,2303
1968,2353
1969,2254
1970,2164
1971,2212
1972,2215
1973,2409
1974,2666
1975,3290
1976,3640
1977,3812
1978,3527
1979,2894
1980,2572
1981,2508
1982,2383
1983,2325
1984,2176
1985,2307
1986,2126
1987,2088
1988,2009
1989,1854
1990,1768
1991,1667
1992,1906
1993,1985
1994,2116
1995,2293
1996,3311
1997,7266
1998,8476
1999,10125
2000,11332
2001,17742
2002,20206
2003,21893
2004,28565
2005,31698
2006,32619
2007,35901
2008,40368
2009,39061
2010,33990
