Region:Sub Saharan Africa

year,income_per_person
1960,919
1961,947
1962,972
1963,1002
1964,1026
1965,1081
1966,1121
1967,1183
1968,1231
1969,1260
1970,1225
1971,1261
1972,1293
1973,1299
1974,1283
1975,1211
1976,1202
1977,1195
1978,1122
1979,1234
1980,1250
1981,1266
1982,1255
1983,1325
1984,1266
1985,1096
1986,1176
1987,1310
1988,1288
1989,1252
1990,1254
1991,1386
1992,1535
1993,1756
1994,2148
1995,2224
1996,2438
1997,2632
1998,2665
1999,2629
2000,2485
2001,2609
2002,2572
2003,2389
2004,2317
2005,2287
2006,2194
2007,2167
2008,1913
2009,1951
2010,1962
