Region:Europe Central Asia

year,income_per_person
1960,6682
1961,6957
1962,7044
1963,6796
1964,7586
1965,7935
1966,8243
1967,8533
1968,8962
1969,9019
1970,9641
1971,9817
1972,9791
1973,10532
1974,10717
1975,10905
1976,11096
1977,11290
1978,11487
1979,11688
1980,11891
1981,12294
1982,12714
1983,13123
1984,13428
1985,13396
1986,13726
1987,13817
1988,14511
1989,15500
1990,14303
1991,12937
1992,11318
1993,10626
1994,10677
1995,11362
1996,12145
1997,13733
1998,14437
1999,14271
2000,15703
2001,16804
2002,17938
2003,19389
2004,20734
2005,22807
2006,25299
2007,27383
2008,25969
2009,22188
2010,22741
