Region:Sub Saharan Africa

year,income_per_person
1960,1194
1961,1311
1962,1546
1963,1591
1964,1776
1965,1998
1966,2026
1967,2158
1968,2002
1969,2030
1970,2558
1971,2579
1972,2825
1973,2839
1974,3287
1975,4251
1976,4669
1977,4573
1978,4487
1979,4422
1980,4347
1981,4493
1982,4421
1983,4242
1984,4191
1985,4115
1986,4690
1987,4965
1988,5086
1989,5331
1990,5633
1991,5577
1992,5613
1993,5652
1994,5661
1995,5811
1996,5915
1997,5985
1998,6038
1999,6127
2000,6165
2001,6179
2002,6416
2003,6640
2004,6857
2005,7239
2006,7631
2007,7920
2008,7929
2009,7996
2010,8242
