Region:Sub Saharan Africa

year,income_per_person
1960,587
1961,601
1962,610
1963,674
1964,689
1965,711
1966,720
1967,732
1968,726
1969,733
1970,755
1971,766
1972,784
1973,787
1974,775
1975,754
1976,751
1977,751
1978,726
1979,759
1980,780
1981,758
1982,733
1983,743
1984,707
1985,646
1986,672
1987,712
1988,700
1989,688
1990,655
1991,587
1992,517
1993,564
1994,563
1995,577
1996,629
1997,629
1998,590
1999,603
2000,621
2001,654
2002,645
2003,613
2004,677
2005,736
2006,794
2007,860
2008,928
2009,982
2010,1075
