Region:East Asia Pacific

year,income_per_person
1960,3071
1961,3059
1962,3066
1963,3160
1964,3214
1965,3041
1966,2978
1967,3308
1968,3510
1969,3518
1970,3849
1971,4016
1972,4242
1973,4629
1974,4665
1975,4680
1976,4676
1977,4834
1978,4842
1979,5328
1980,5126
1981,5329
1982,5076
1983,4810
1984,5099
1985,4823
1986,5104
1987,4755
1988,4835
1989,5465
1990,5892
1991,5679
1992,5952
1993,5995
1994,6213
1995,6288
1996,6514
1997,6304
1998,6326
1999,6831
2000,6676
2001,6785
2002,6990
2003,7053
2004,7411
2005,7429
2006,7509
2007,7371
2008,7366
2009,7194
2010,7353
