Region:Europe Central Asia

year,income_per_person
1960,10087
1961,10800
1962,11083
1963,11389
1964,11921
1965,12538
1966,12816
1967,13041
1968,13307
1969,14625
1970,15808
1971,16149
1972,17310
1973,18402
1974,18897
1975,19066
1976,18964
1977,18993
1978,19371
1979,20705
1980,21783
1981,22136
1982,22769
1983,23289
1984,23908
1985,24659
1986,25210
1987,26216
1988,27470
1989,28987
1990,28906
1991,27048
1992,26002
1993,25687
1994,26584
1995,27596
1996,28512
1997,30205
1998,31760
1999,33095
2000,34887
2001,35706
2002,36218
2003,36852
2004,38188
2005,39116
2006,40546
2007,42467
2008,42575
2009,38868
2010,39848
