Region:Europe Central Asia

year,income_per_person
1960,12170
1961,12704
1962,13284
1963,13778
1964,14538
1965,15115
1966,15748
1967,16355
1968,16957
1969,17988
1970,18864
1971,19593
1972,20295
1973,21233
1974,21721
1975,21475
1976,22330
1977,23081
1978,23637
1979,24302
1980,24534
1981,24668
1982,25165
1983,25367
1984,25607
1985,25867
1986,26384
1987,26938
1988,28006
1989,28870
1990,29464
1991,29608
1992,29933
1993,29616
1994,30202
1995,30727
1996,31051
1997,31664
1998,32680
1999,33624
2000,34705
2001,35137
2002,35278
2003,35318
2004,36051
2005,36375
2006,37007
2007,37671
2008,37556
2009,36290
2010,36815
