Region:Sub Saharan Africa

year,income_per_person
1960,6445
1961,7076
1962,7655
1963,8633
1964,9540
1965,10288
1966,9972
1967,11214
1968,11431
1969,12510
1970,13441
1971,14523
1972,15857
1973,17966
1974,23511
1975,25827
1976,32949
1977,28020
1978,20681
1979,20865
1980,21653
1981,22211
1982,20839
1983,21292
1984,22128
1985,20875
1986,20056
1987,16200
1988,17885
1989,18996
1990,19557
1991,20193
1992,19046
1993,19275
1994,19471
1995,19917
1996,20120
1997,20746
1998,20940
1999,18609
2000,17822
2001,17774
2002,17313
2003,17277
2004,16962
2005,16955
2006,16023
2007,16496
2008,15468
2009,14991
2010,15508
