Region:Sub Saharan Africa

year,income_per_person
1960,1365
1961,1536
1962,1466
1963,1424
1964,1466
1965,1569
1966,1765
1967,1761
1968,1722
1969,1838
1970,1597
1971,1539
1972,1488
1973,1568
1974,1606
1975,1649
1976,1575
1977,1548
1978,1573
1979,1474
1980,1430
1981,1633
1982,1691
1983,1579
1984,1551
1985,1531
1986,1494
1987,1471
1988,1477
1989,1460
1990,1445
1991,1435
1992,1433
1993,1429
1994,1388
1995,1358
1996,1345
1997,1369
1998,1373
1999,1417
2000,1449
2001,1485
2002,1391
2003,1440
2004,1494
2005,1434
2006,1407
2007,1415
2008,1452
2009,1501
2010,1552
