Region:Europe Central Asia

year,income_per_person
1960,4190
1961,4377
1962,4445
1963,4300
1964,4811
1965,5046
1966,5385
1967,5684
1968,5902
1969,6148
1970,6851
1971,6978
1972,7134
1973,7551
1974,7587
1975,7623
1976,7658
1977,7692
1978,7726
1979,7758
1980,7790
1981,8093
1982,8406
1983,8757
1984,9287
1985,9696
1986,9560
1987,9356
1988,9888
1989,9430
1990,7984
1991,6256
1992,3420
1993,2400
1994,2183
1995,2326
1996,2682
1997,3061
1998,3235
1999,3397
2000,3527
2001,3755
2002,3996
2003,4468
2004,4756
2005,5245
2006,5772
2007,6532
2008,6710
2009,6523
2010,6981
